TEAM,PLAYER,POSITION,SCHOOL,Rating,Year.Selection,Overall sel,Pos.conv,Rated,last,first,fuzzy_key
Oakland Raiders,P.J. Hall,NT,Sam Houston State,0.8569,2018_57,57,DL,Yes,Hall,P.J.,hal.j.allp.j
Atlanta Falcons,Isaiah Oliver,CB,Colorado,,2018_58,58,DB,No,Oliver,Isaiah,oliiahverisa
Washington Redskins,Derrius Guice,RB,LSU,0.9793,2018_59,59,RB,Yes,Guice,Derrius,guiiusiceder
Pittsburgh Steelers,James Washington,WR,Oklahoma State,0.8528,2018_60,60,WR,Yes,Washington,James,wasmestonjam
Jacksonville Jaguars,D.J. Chark,WR,LSU,0.8752,2018_61,61,WR,Yes,Chark,D.J.,cha.j.arkd.j
Minnesota Vikings,Brian O'Neill,T,Pittsburgh,,2018_62,62,OL,No,O'Neill,Brian,o'nianillbri
Tampa Bay Buccaneers,Carlton Davis,CB,Auburn,0.8904,2018_63,63,DB,Yes,Davis,Carlton,davtonviscar
Indianapolis Colts,Tyquan Lewis,DE,Ohio State,0.8978,2018_64,64,DL,Yes,Lewis,Tyquan,lewuanwistyq
Oakland Raiders,Brandon Parker,T,North Carolina A&T,,2018_65,65,OL,No,Parker,Brandon,pardonkerbra
New York Giants,Lorenzo Carter,LB,Georgia,0.9913,2018_66,66,LB,Yes,Carter,Lorenzo,carnzoterlor
Cleveland Browns,Chad Thomas,DE,Miami (Fla.),0.9887,2018_67,67,DL,Yes,Thomas,Chad,thohadmascha
Houston Texans,Justin Reid,SAF,Stanford,0.8857,2018_68,68,DB,Yes,Reid,Justin,reitineidjus
New York Giants,B.J. Hill,DT,North Carolina State,,2018_69,69,DL,No,Hill,B.J.,hil.j.illb.j
San Francisco 49ers,Fred Warner,LB,Brigham Young,0.892,2018_70,70,LB,Yes,Warner,Fred,warrednerfre
Denver Broncos,Royce Freeman,RB,Oregon,0.9831,2018_71,71,RB,Yes,Freeman,Royce,freycemanroy
New York Jets,Nathan Shepherd,DT,Fort Hays State,,2018_72,72,DL,No,Shepherd,Nathan,shehanerdnat
Miami Dolphins,Jerome Baker,LB,Ohio State,0.9697,2018_73,73,LB,Yes,Baker,Jerome,bakomekerjer
Washington Redskins,Geron Christian,T,Louisville,0.8489,2018_74,74,OL,Yes,Christian,Geron,chrronianger
Kansas City Chiefs,Derrick Nnadi,DT,Florida State,0.9554,2018_75,75,DL,Yes,Nnadi,Derrick,nnaickadider
Pittsburgh Steelers,Mason Rudolph,QB,Oklahoma State,0.9004,2018_76,76,QB,Yes,Rudolph,Mason,rudsonlphmas
Cincinnati Bengals,Sam Hubbard,DE,Ohio State,0.923,2018_77,77,DL,Yes,Hubbard,Sam,hubsamardsam
Cincinnati Bengals,Malik Jefferson,LB,Texas,0.9934,2018_78,78,LB,Yes,Jefferson,Malik,jefliksonmal
Seattle Seahawks,Rasheem Green,DE,USC,0.99,2018_79,79,DL,Yes,Green,Rasheem,greeemeenras
Houston Texans,Martinas Rankin,C,Mississippi State,,2018_80,80,OL,No,Rankin,Martinas,rannaskinmar
Dallas Cowboys,Michael Gallup,WR,Colorado State,,2018_81,81,WR,No,Gallup,Michael,galaellupmic
Detroit Lions,Tracy Walker,SAF,Louisiana-Lafayette,,2018_82,82,DB,No,Walker,Tracy,walacykertra
Baltimore Ravens,Orlando Brown,T,Oklahoma,0.8731,2018_83,83,OL,Yes,Brown,Orlando,brondoownorl
Los Angeles Chargers,Justin Jones,DT,North Carolina State,0.8653,2018_84,84,DL,Yes,Jones,Justin,jontinnesjus
Carolina Panthers,Rashaan Gaulden,CB,Tennessee,0.8773,2018_85,85,DB,Yes,Gaulden,Rashaan,gauaandenras
Baltimore Ravens,Mark Andrews,TE,Oklahoma,0.9407,2018_86,86,TE,Yes,Andrews,Mark,andarkewsmar
Oakland Raiders,Arden Key,DE,LSU,0.9593,2018_87,87,DL,Yes,Key,Arden,keydenkeyard
Green Bay Packers,Oren Burks,LB,Vanderbilt,0.86,2018_88,88,LB,Yes,Burks,Oren,burrenrksore
Los Angeles Rams,Joe Noteboom,T,Texas Christian,,2018_89,89,OL,No,Noteboom,Joe,notjoeoomjoe
Atlanta Falcons,Deadrin Senat,DT,South Florida,0.8712,2018_90,90,DL,Yes,Senat,Deadrin,senrinnatdea
